date,ticker,side,qty,price,reason,pnl,technical,volume_high,kap_support,kap_reasons,financials_support,adx_strong,donchian_breakout,score
2026-09-04,KOCMT.IS,BUY,2673,3.740000009536743,"senaryo3_checklist(score=3.0, kap=False, fin=True)",,False,True,False,,True,True,False,3.00
2026-09-04,MIATK.IS,BUY,325,30.700000762939453,"senaryo3_checklist(score=2.5, kap=True, fin=False)",,False,True,True,Birleşme İşlemlerine İlişkin Bildirim; Birleşme İşlemlerine İlişkin Bildirim,False,False,False,2.50
2026-09-04,UFUK.IS,BUY,6,1650.0,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,BIGTK.IS,BUY,30,330.0,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,ONCSM.IS,BUY,50,196.39999389648438,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,KOCMT.IS,SELL,2673,3.740000009536743,momentum_fading_rsi,-14.995530038237572,,,,,,,,
2026-09-04,UFUK.IS,SELL,6,1650.0,momentum_fading_below_ma,-14.85,,,,,,,,
2026-09-04,BIGTK.IS,SELL,30,330.0,momentum_fading_below_ma,-14.85,,,,,,,,
2026-09-04,ONCSM.IS,SELL,50,196.3999938964844,momentum_fading_rsi,-14.72999954223491,,,,,,,,
2026-09-04,KOCMT.IS,BUY,2670,3.740000009536743,"senaryo3_checklist(score=3.0, kap=False, fin=True)",,False,True,False,,True,True,False,3.00
2026-09-04,UFUK.IS,BUY,6,1650.0,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,BIGTK.IS,BUY,30,330.0,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,ONCSM.IS,BUY,50,196.3999938964844,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,KOCMT.IS,SELL,2670,3.740000009536743,momentum_fading_rsi,-14.978700038194656,,,,,,,,
2026-09-04,UFUK.IS,SELL,6,1650.0,momentum_fading_below_ma,-14.85,,,,,,,,
2026-09-04,BIGTK.IS,SELL,30,330.0,momentum_fading_below_ma,-14.85,,,,,,,,
2026-09-04,ONCSM.IS,SELL,50,196.3999938964844,momentum_fading_rsi,-14.729999542236332,,,,,,,,
2026-09-04,KOCMT.IS,BUY,2667,3.740000009536743,"senaryo3_checklist(score=3.0, kap=False, fin=True)",,False,True,False,,True,True,False,3.00
2026-09-04,UFUK.IS,BUY,6,1650.0,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,BIGTK.IS,BUY,30,330.0,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
2026-09-04,ONCSM.IS,BUY,50,196.3999938964844,"senaryo3_checklist(score=2.0, kap=False, fin=True)",,False,True,False,,True,False,False,2.00
